date,cash,value,601288.SH_volume_1_x,601398.SH_volume_2,601288.SH_volume_1_y,601988.SH_volume_2,002017.SZ_volume_1,600776.SH_volume_2,002194.SZ_volume_1_x,603118.SH_volume_2_x,002463.SZ_volume_1,603118.SH_volume_2_y,600062.SH_volume_1,603367.SH_volume_2,002234.SZ_volume_1,002746.SZ_volume_2,000686.SZ_volume_1_x,002926.SZ_volume_2,000810.SZ_volume_1,002463.SZ_volume_2_x,002792.SZ_volume_1_x,603118.SH_volume_2,601988.SH_volume_1,601998.SH_volume_2,600602.SH_volume_1_x,600756.SH_volume_2,600928.SH_volume_1,601860.SH_volume_2,600602.SH_volume_1_y,603383.SH_volume_2_x,300134.SZ_volume_1,603328.SH_volume_2_x,000686.SZ_volume_1_y,000783.SZ_volume_2,600756.SH_volume_1,603383.SH_volume_2_y,600446.SH_volume_1,600602.SH_volume_2,002194.SZ_volume_1_y,002463.SZ_volume_2_y,002792.SZ_volume_1_y,603328.SH_volume_2_y,rev
2021-11-01,12679451.917320762,-10546970.009114755,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-6.273485004557378
2021-11-02,12679451.917320762,-10908765.844570184,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,0.03430329612606875
2021-11-03,12679451.917320762,-10036042.755685767,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.08000200034716243
2021-11-04,12679451.917320762,-10370086.42939903,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,0.03328440121720444
2021-11-05,12679451.917320762,-8056452.146253811,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.22310655739436291
2021-11-08,12679451.917320762,-7777340.706284409,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.03464446072570371
2021-11-09,12679451.917320762,-6486468.472170314,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.16597861439592299
2021-11-10,12679451.917320762,-5289159.282720221,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.18458567933954417
2021-11-11,12679451.917320762,-1632650.1872149576,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,0.0,0.0,280000.0,-565000.0,-0.6913214180278413
2021-11-12,13700968.50926584,1034947.8053168412,0,0,1930000.0,-1643700.0,0,0,260000.0,-569500.0,290000.0,-599100.0,0,0,280000.0,-360500.0,0,0,0,0,280000.0,-516200.0,0,0,0.0,0.0,0.0,0.0,3000.0,-140000.0,250000.0,-567100.0,0.0,0.0,150000.0,-169700.0,40000.0,-3100.0,250000.0,-263900.0,280000.0,-565000.0,-1.633906646641984
