date,cash,value,000777.SZ_volume_1,002573.SZ_volume_2,300726.SZ_volume_1_x,600776.SH_volume_2,002936.SZ_volume_1,601577.SH_volume_2,300726.SZ_volume_1_y,603220.SH_volume_2,002234.SZ_volume_1_x,002746.SZ_volume_2,002234.SZ_volume_1_y,300761.SZ_volume_2_x,601288.SH_volume_1,601398.SH_volume_2,000795.SZ_volume_1_x,000831.SZ_volume_2,002746.SZ_volume_1,300761.SZ_volume_2_y,600446.SH_volume_1,603383.SH_volume_2,600868.SH_volume_1,601016.SH_volume_2_x,000795.SZ_volume_1_y,600259.SH_volume_2,002564.SZ_volume_1,002689.SZ_volume_2,000563.SZ_volume_1,600705.SH_volume_2,601198.SH_volume_1,601377.SH_volume_2,002057.SZ_volume_1_x,002937.SZ_volume_2,600522.SH_volume_1,601179.SH_volume_2,000862.SZ_volume_1,601016.SH_volume_2_y,300726.SZ_volume_1,603421.SH_volume_2,002057.SZ_volume_1_y,300726.SZ_volume_2,rev
2020-07-01,12687993.633972215,300982121.0536082,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,0.0,0.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,149.4910605268041
2020-07-02,12687993.633972215,303704906.4217242,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,0.0,0.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.009046335903889258
2020-07-03,13282434.260227002,378656519.54655504,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.24679091954067123
2020-07-06,13282434.260227002,394134502.05189896,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.04087604915367349
2020-07-07,13609834.193259733,504069299.84855866,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20000.0,-65300.0,110000.0,-2119300.0,0.0,0.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.2789271104770821
2020-07-08,13797393.196284734,546424682.6683848,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20000.0,-65300.0,110000.0,-2119300.0,360000.0,-270000.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.0840269043017523
2020-07-09,14342246.335079573,554106291.9025306,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,20000.0,-65300.0,110000.0,-2119300.0,360000.0,-270000.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.014057947010434724
2020-07-10,14342246.335079573,535047744.7336285,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,20000.0,-65300.0,110000.0,-2119300.0,360000.0,-270000.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.03439511055444666
2020-07-13,14342246.335079573,557414542.4744285,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,20000.0,-65300.0,110000.0,-2119300.0,360000.0,-270000.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,0.041803367944173386
2020-07-14,31518901.200614717,460723299.8155747,0,0,0,0,2500000.0,-1299900.0,0,0,200000.0,-306100.0,0.0,0.0,0.0,0.0,350000.0,-181800.0,0,0,0.0,0.0,110000.0,-2119300.0,360000.0,-270000.0,780000.0,-822000.0,0.0,0.0,860000.0,-668700.0,250000.0,-499000.0,100000.0,-1665300.0,980000.0,-2634800.0,0,0,250000.0,-445300.0,-0.1734637963150909
