stock_0,stock_1,配对系数,已平仓实现收益,总盈亏,entry_level,exit_level,trading_tlist
002040.SZ,600190.SH,1.4352498978325006,0,0,-1034.16,1034.16,[]
603233.SH,603883.SH,1.0545572971505335,0,-7.224947443371713,-0.0521745736006954,0.0521745736006954,['2022-01-04']
002493.SZ,600346.SH,0.998592360603911,15.216241272888233,15.216241272888233,-0.022368385225989468,0.022368385225989468,"['2022-04-11', '2022-06-13']"
603566.SH,603858.SH,1.0177729236653765,14.314613547938276,14.314613547938276,-0.04105817042917598,0.04105817042917598,"['2022-01-17', '2022-01-21', '2022-05-16', '2022-05-18']"
300206.SZ,300676.SZ,0.9672777809116857,6.630805066749273,6.630805066749273,-0.022944151920472486,0.022944151920472486,"['2022-03-11', '2022-03-30']"
002367.SZ,603686.SH,1.1165574759286958,0,0,-0.03526691765312884,0.03526691765312884,[]
002156.SZ,603005.SH,0.9100165925618021,16.454558932643582,33.35658980775355,-0.04578815257116657,0.04578815257116657,"['2022-01-04', '2022-02-14', '2022-06-21']"
600088.SH,600825.SH,0.9110572159151027,3.5126154246507273,16.841314601764054,-0.02732866464817217,0.02732866464817217,"['2022-01-06', '2022-01-21', '2022-02-09']"
600269.SH,600717.SH,0.7698132486052467,23.38382634747287,23.38382634747287,-0.022929808283251373,0.022929808283251373,"['2022-01-05', '2022-03-16', '2022-04-13', '2022-05-05']"
002169.SZ,002346.SZ,1.2319382865406228,-15.04374398850161,-32.43261439292227,-0.07722637969807955,0.07722637969807955,"['2022-01-04', '2022-04-27', '2022-05-12']"
formation,2021-01-01,2022-01-01,64.46891660384134,70.08582880827228,transaction,2022-01-01,2022-07-01
