date,cash,value,rev
2019-05-15,992064505.3091824,1230973303.218084,0.0035100813109021356
2019-05-16,992064505.3091824,1225658329.378124,-0.004317700331977425
2019-05-17,992386264.1945274,1238619867.598258,0.0105751643092169
2019-05-20,1002052516.6802442,1256372665.6397512,0.014332725080469455
2019-05-21,1002052516.6802442,1256220034.413669,-0.00012148563102043486
2019-05-22,1002052516.6802442,1250988880.357358,-0.004164202060949251
2019-05-23,1002052516.6802442,1253238425.805754,0.0017982137840852896
2019-05-24,1002052516.6802442,1252306862.9996111,-0.0007433244839615272
2019-05-27,1002052516.6802442,1261682897.921669,0.00748701073121949
2019-05-28,1002052516.6802442,1262808444.333741,0.0008920992857444077
2019-05-29,1002052516.6802442,1260775556.2852712,-0.001609815057534214
