date,cash,value,601288.SH_volume_1_x,601988.SH_volume_2_x,600022.SH_volume_1,600808.SH_volume_2_x,601398.SH_volume_1,601998.SH_volume_2_x,600231.SH_volume_1,600569.SH_volume_2,601288.SH_volume_1_y,601398.SH_volume_2,601328.SH_volume_1,601988.SH_volume_2_y,601288.SH_volume_1,601998.SH_volume_2_y,000825.SZ_volume_1,600808.SH_volume_2_y,688033.SH_volume_1,688518.SH_volume_2,000831.SZ_volume_1,600111.SH_volume_2,000505.SZ_volume_1,600073.SH_volume_2,300619.SZ_volume_1,603667.SH_volume_2,600015.SH_volume_1_x,601169.SH_volume_2,600123.SH_volume_1,601101.SH_volume_2,000898.SZ_volume_1,600808.SH_volume_2,002897.SZ_volume_1,688556.SH_volume_2_x,002110.SZ_volume_1,600782.SH_volume_2,603688.SH_volume_1,688556.SH_volume_2_y,600015.SH_volume_1_y,601229.SH_volume_2,300841.SZ_volume_1,603882.SH_volume_2,rev
2022-01-20,6078516.864166478,35776847.265326455,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.4146629577441856
2022-01-21,6078516.864166478,30000035.985914413,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.16146786877475106
2022-01-24,6078516.864166478,24346437.792042464,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.18845304707389088
2022-01-25,6078516.864166478,19396178.013216462,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.20332583440374896
2022-01-26,6078516.864166478,22087934.738160484,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.1387776871871289
2022-01-27,6078516.864166478,24847073.314196475,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.12491609599285591
2022-01-28,6078516.864166478,31266131.277404457,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2583426177416408
2022-02-07,6494432.403911278,31752642.043661285,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.015560312273377397
2022-02-08,6494432.403911278,41159237.57424527,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,0.2962460735597843
2022-02-09,6494432.403911278,36156587.376811296,1940000.0,-1649100.0,960000.0,-1078200.0,1080000.0,-1323400.0,410000.0,-1227000.0,0,0,0,0,0.0,0.0,160000.0,-964100.0,310000.0,-215000.0,60000.0,-10800.0,0,0,0,0,370000.0,-596400.0,0,0,850000.0,-1217300.0,150000.0,-173400.0,0.0,0.0,110000.0,-141000.0,0,0,0.0,0.0,-0.12154380139840826
